age,gender,native_language,race,education,player_id
79,male,English,White,bachelors,286
28,female,English,White,high-school,287
24,male,English,White,high-school,288
46,female,English,White,bachelors,289
31,female,English,White,high-school,290
21,male,English,White,high-school,291
60,female,English,White,bachelors,292
31,male,English,Asian,advanced-degree,293
31,female,English,White,bachelors,294
37,male,English,White,bachelors,295
49,female,English,White,advanced-degree,296
47,male,English,White,bachelors,297
53,female,English,White,bachelors,298
26,male,English,White,bachelors,299
31,female,Hungarian/English,White,advanced-degree,300
53,male,English,White,bachelors,301
31,male,English,Black,advanced-degree,302
54,female,English,White,advanced-degree,303
24,male,English,White,bachelors,304
20,male,NA,Black,high-school,305
29,male,English,White,some-college,306
26,female,English,White,advanced-degree,307
24,female,English,White,some-college,308
NA,NA,NA,NA,NA,309
NA,NA,NA,NA,NA,310
34,male,English,White,advanced-degree,311
19,female,English,White,some-college,312
21,female,English,Asian,some-college,313
33,male,English,Asian,advanced-degree,314
35,male,English,Hispanic,high-school,315
31,female,English,White,high-school,316
39,male,English,Asian,bachelors,317
24,male,English,Black,advanced-degree,318
38,female,English,Hispanic,bachelors,319
52,male,English,White,bachelors,320
38,female,English,White,advanced-degree,321
27,female,English,White,some-college,322
45,female,English,White,some-college,323
49,female,English,White,bachelors,324
20,male,English,Black,some-college,325
42,female,English,White,advanced-degree,326
43,nonbinary,English,White,bachelors,327
20,male,English,White,some-college,328
22,male,English,White,bachelors,329
35,male,English,White,high-school,330
43,female,English,White,high-school,331
27,male,English,White,advanced-degree,332
37,male,English,White,bachelors,333
42,female,English,White,bachelors,334
NA,NA,NA,NA,NA,335
NA,NA,NA,NA,NA,336
50,female,English,White,advanced-degree,337
38,female,English,White,some-college,338
57,male,English,White,high-school,339
47,male,English,White,advanced-degree,340
29,male,English,White,advanced-degree,341
35,female,English,White,some-college,342
21,female,English,White,bachelors,343
35,female,English,White,high-school,344
37,female,English,White,bachelors,345
36,female,English,White,advanced-degree,346
33,male,English,White,high-school,347
37,female,English,White,bachelors,348
60,male,English,White,bachelors,349
33,male,English,White,some-college,350
60,male,English,White,bachelors,351
18,female,English,White,high-school,352
32,male,English,White,advanced-degree,353
30,male,English,White,some-college,354
30,male,English,White Black,some-college,355
30,female,English,White,some-college,356
34,male,English,White,high-school,357
37,female,English,Asian,advanced-degree,358
20,male,English,White,some-college,359
32,male,English,White,advanced-degree,360
32,male,English,White,advanced-degree,361
52,male,English,White,some-college,362
35,male,English,White,some-college,363
73,male,English,White,bachelors,364
67,male,English,White,high-school,365
29,male,English,Black,bachelors,366
45,male,English,White,bachelors,367
20,female,English,White,some-college,368
31,female,English,Asian,bachelors,369
26,female,English,White,bachelors,370
30,male,English,White,some-college,371
NA,NA,NA,NA,NA,372
21,female,English,White,some-college,373
32,male,English,White,some-college,374
21,male,Polish,White,high-school,375
36,female,English,White,some-college,376
42,male,English,White,bachelors,377
26,male,English,Black,bachelors,378
23,female,English,White,bachelors,379
45,male,English,White,bachelors,380
29,female,English,White,bachelors,381
37,female,English,Asian,advanced-degree,382
29,female,English,White,bachelors,383
46,female,English,White,some-college,384
32,male,English,Black,bachelors,385
30,female,English,White,some-college,386
55,male,English,Asian,high-school,387
44,male,English,Asian,some-college,388
27,female,English,White,bachelors,389
27,female,English,White,bachelors,390
30,male,English,White,high-school,391
39,male,English,White,some-college,392
32,female,English,White,bachelors,393
37,female,English,White,high-school,394
30,male,English,White,bachelors,395
46,male,English,White,advanced-degree,396
53,male,English,White,bachelors,397
30,male,English,White,bachelors,398
61,male,English,White,some-college,399
26,male,English,Asian,high-school,400
49,NA,English,White,bachelors,401
22,NA,NA,Black,bachelors,402
23,female,tswana,Black,high-school,403
48,female,English,White,bachelors,404
48,female,English,White,bachelors,405
36,male,English,White,bachelors,406
29,male,English,White,advanced-degree,407
27,male,English,Black,some-college,408
41,female,English,Black,bachelors,409
27,male,English,Black,bachelors,410
64,male,English,White,high-school,411
51,male,English,White,bachelors,412
54,male,English,White,advanced-degree,413
20,male,English,White,high-school,414
42,male,English,White,high-school,415
45,male,English,White,advanced-degree,416
36,male,English,White,high-school,417
29,female,English,White,less-than-high-school,418
53,male,English,White,high-school,419
30,female,English,White,bachelors,420
34,female,English,White,bachelors,421
32,male,English,White,bachelors,422
NA,NA,NA,NA,NA,423
29,male,English,White Pacific Islander,some-college,424
46,female,English,White,bachelors,425
66,male,English,White,bachelors,426
NA,NA,NA,NA,NA,427
48,male,English,White,some-college,428
27,male,English,White,bachelors,429
55,female,English,Black,advanced-degree,430
37,male,English,Black,some-college,431
36,male,English,White,advanced-degree,432
19,male,English,White,some-college,433
37,male,English,White,advanced-degree,434
56,female,English,White,high-school,435
25,male,English,Hispanic,advanced-degree,436
52,male,English,White,bachelors,437
33,male,English,White,some-college,438
38,female,English,White,bachelors,439
27,male,English,White,some-college,440
48,male,English,Black,bachelors,441
33,male,English,White,some-college,442
18,female,English,White Asian,some-college,443
28,female,NA,Black,bachelors,444
26,female,English,White,some-college,445
23,female,NA,White,less-than-high-school,446
26,male,English,White,bachelors,447
33,male,English,White,some-college,448
57,male,English,White,bachelors,449
42,male,English,White,NA,450
39,male,English,Asian,bachelors,451
21,male,English,White,bachelors,452
37,male,English,White,bachelors,453
51,female,English,NA,NA,454
24,female,English,White,some-college,455
30,male,English,Black,some-college,456
39,male,English,White,high-school,457
28,male,English,White,some-college,458
48,female,English,White Black,bachelors,459
20,male,English,White,less-than-high-school,460
34,male,English,Black,bachelors,461
NA,NA,NA,NA,NA,462
NA,NA,NA,NA,NA,463
NA,NA,NA,NA,NA,464
20,male,English,White Hispanic,some-college,465
30,female,English,White,bachelors,466
49,female,English,White,bachelors,467
43,male,English,White Pacific Islander,advanced-degree,468
39,male,English,White,some-college,469
30,male,English,White,some-college,470
24,male,English,White,advanced-degree,471
35,male,English,White,high-school,472
60,female,English,White,advanced-degree,473
49,male,English,White,advanced-degree,474
52,female,English,White,high-school,475
39,male,English,Black,bachelors,476
40,female,English,White,bachelors,477
30,female,English,White,advanced-degree,478
29,female,English,White Asian Hispanic,bachelors,479
37,male,English,White,high-school,480
26,female,English,Asian Pacific Islander,advanced-degree,481
48,male,English,White,bachelors,482
36,female,English,White,some-college,483
44,male,English,White,high-school,484
30,male,English,Hispanic,advanced-degree,485
29,female,English,White,some-college,486
23,male,English,Black Asian,some-college,487
42,female,English,White,advanced-degree,488
26,female,English,Black,bachelors,489
34,male,English,White,bachelors,490
25,male,English,Black,bachelors,491
22,male,English,White,bachelors,492
36,male,English,White,bachelors,493
49,male,English,White,high-school,494
30,female,NA,White,less-than-high-school,495
21,female,English,White,bachelors,496
40,male,English,White,high-school,497
47,male,English,White,bachelors,498
40,male,English,Black,some-college,499
35,male,English,White,high-school,500
21,male,English,White,some-college,501
38,female,English,White,advanced-degree,502
29,female,English,White,high-school,503
28,female,English,White,bachelors,504
34,female,English,White Asian,bachelors,505
22,male,English,White,bachelors,506
34,male,English,White,some-college,507
24,female,English,Black,some-college,508
33,male,English,White,some-college,509
21,male,English,White,some-college,510
66,male,English,White,bachelors,511
49,female,English,White,some-college,512
26,female,English,White,some-college,513
31,female,English,White,bachelors,514
NA,NA,NA,NA,NA,515
NA,NA,NA,NA,NA,516
NA,NA,NA,NA,NA,517
NA,NA,NA,NA,NA,518
31,female,English,White,some-college,519
58,male,English,White,high-school,520
59,male,English,White,high-school,521
41,male,English,White,some-college,522
47,male,English,White,high-school,523
36,male,English,White,bachelors,524
32,female,English,White,bachelors,525
24,male,English,White,bachelors,526
31,male,English,White,bachelors,527
20,female,English,Asian,some-college,528
NA,NA,NA,NA,NA,529
NA,NA,NA,NA,NA,530
20,male,English,White,some-college,531
29,male,English,Asian,some-college,532
22,female,English,White Asian,bachelors,533
22,male,English,Asian,some-college,534
44,male,English,White,some-college,535
65,male,English,White,advanced-degree,536
57,female,English,White,bachelors,537
22,female,English,White,bachelors,538
44,male,English,White,some-college,539
40,male,English,White,advanced-degree,540
22,male,English,White,high-school,541
25,male,English,Hispanic,some-college,542
36,male,English,Black,bachelors,543
46,female,English,White,advanced-degree,544
27,male,English,White,bachelors,545
63,male,English,White,advanced-degree,546
48,female,English,White,some-college,547
21,male,English,White,high-school,548
27,male,English,White,some-college,549
51,female,English,Black,bachelors,550
30,male,English,White,some-college,551
58,female,English,White,some-college,552
46,male,English,White,some-college,553
24,female,English,White,high-school,554
40,male,English,White,some-college,555
38,female,English,Asian,some-college,556
40,male,English,White,some-college,557
74,male,English,White,high-school,558
47,NA,English,Asian,advanced-degree,559
53,female,English,White,advanced-degree,560
43,male,English,Asian,some-college,561
58,male,English,White,bachelors,562
57,male,English,White,some-college,563
38,male,English,White,bachelors,564
40,female,English,White,some-college,565
48,female,English,White,advanced-degree,566
47,male,English,White,bachelors,567
43,male,English,White,some-college,568
NA,NA,NA,NA,NA,569
20,female,English,White,high-school,570
49,female,English,Black,bachelors,571
27,male,English,White,high-school,572
57,male,English,White,advanced-degree,573
49,male,English,White Native American,bachelors,574
40,female,English,Black,advanced-degree,575
49,female,English,Asian,high-school,576
25,male,English,Black,advanced-degree,577
30,male,English,White,high-school,578
36,female,English,White,high-school,579
29,female,English,Black,some-college,580
29,male,English,White,bachelors,581
27,male,English,White,high-school,582
39,male,English,White,bachelors,583
30,female,English,White,advanced-degree,584
NA,NA,NA,NA,NA,585
22,male,English,White,some-college,586
31,male,English,White,high-school,587
28,male,English,White,bachelors,588
33,male,English,White,some-college,589
52,male,English,White,some-college,590
40,male,English,White,advanced-degree,591
38,female,English,White,some-college,592
19,female,English,White,high-school,593
NA,NA,NA,NA,NA,594
NA,NA,NA,NA,NA,595
NA,NA,NA,NA,NA,596
33,female,English,White,some-college,597
31,male,English,White,bachelors,598
44,female,English,White,some-college,599
19,female,English,Asian,high-school,600
24,male,English,Asian,bachelors,601
21,male,English,White,some-college,602
38,male,English,White,NA,603
21,male,English,White,bachelors,604
31,male,English,White,bachelors,605
31,male,English,White,bachelors,606
34,male,English,White,advanced-degree,607
30,female,English,White,some-college,608
22,male,English,Asian,some-college,609
40,male,English,Black,some-college,610
44,female,English,Asian,advanced-degree,611
61,male,English,White,some-college,612
26,male,English,Black,bachelors,613
25,female,English,White,advanced-degree,614
24,male,English,White,some-college,615
31,female,English,White,bachelors,616
24,female,English,Asian,some-college,617
31,male,English,Asian,advanced-degree,618
24,male,English,White,bachelors,619
44,male,English,White,bachelors,620
50,female,English,White,some-college,621
31,male,English,White,high-school,622
31,female,English,White,bachelors,623
54,female,English,White,high-school,624
28,male,English,White,some-college,625
NA,NA,NA,NA,NA,626
40,male,English,Asian,bachelors,627
50,male,English,White,bachelors,628
NA,NA,NA,NA,NA,629
39,male,English,White,high-school,630
24,female,English,White,high-school,631
25,male,English,White,some-college,632
18,female,English,White,some-college,633
27,female,English,Asian,advanced-degree,634
30,male,English,White,some-college,635
35,male,English,White,advanced-degree,636
26,male,English,White,bachelors,637
34,male,English,Pacific Islander,advanced-degree,638
33,female,English,White,some-college,639
33,female,English,White,bachelors,640
20,male,English,Black,advanced-degree,641
31,female,English,White,some-college,642
24,male,English,Black,high-school,643
62,male,English,White,some-college,644
41,male,English,White,high-school,645
58,female,English,White,high-school,646
20,female,English,Black,some-college,647
26,male,English,Black,bachelors,648
37,female,English,White,advanced-degree,649
53,female,English,White,some-college,650
33,male,English,White,advanced-degree,651
33,male,English,White,advanced-degree,652
24,female,English,White,bachelors,653
NA,NA,NA,NA,NA,654
27,female,English,Black,bachelors,655
35,male,English,White,some-college,656
47,male,English,Hispanic,bachelors,657
33,female,English,White,bachelors,658
48,female,English,White,some-college,659
34,female,English,Black,bachelors,660
28,female,English,White,high-school,661
39,female,English,White,bachelors,662
33,female,English,White Black,high-school,663
41,female,English,White,some-college,664
51,female,English,White,some-college,665
25,male,English,White,some-college,666
22,male,English,Black,high-school,667
57,female,English,White,high-school,668
38,female,English,Black,some-college,669
NA,NA,NA,NA,NA,670
29,male,English,White,bachelors,671
