image_id,image_type,kilogram_id,image_path
COCO_val2014_000000216695.jpg,photograph,NA,NA
COCO_val2014_000000102741.jpg,photograph,NA,NA
COCO_val2014_000000377012.jpg,photograph,NA,NA
COCO_val2014_000000363581.jpg,photograph,NA,NA
COCO_val2014_000000528011.jpg,photograph,NA,NA
COCO_val2014_000000162675.jpg,photograph,NA,NA
COCO_val2014_000000058758.jpg,photograph,NA,NA
COCO_val2014_000000044860.jpg,photograph,NA,NA
COCO_val2014_000000534081.jpg,photograph,NA,NA
COCO_val2014_000000095516.jpg,photograph,NA,NA
COCO_val2014_000000071826.jpg,photograph,NA,NA
COCO_val2014_000000386967.jpg,photograph,NA,NA
COCO_val2014_000000234660.jpg,photograph,NA,NA
COCO_val2014_000000387850.jpg,photograph,NA,NA
COCO_val2014_000000034056.jpg,photograph,NA,NA
COCO_val2014_000000378825.jpg,photograph,NA,NA
COCO_val2014_000000356967.jpg,photograph,NA,NA
COCO_val2014_000000307026.jpg,photograph,NA,NA
COCO_val2014_000000413704.jpg,photograph,NA,NA
COCO_val2014_000000237558.jpg,photograph,NA,NA
COCO_val2014_000000071306.jpg,photograph,NA,NA
COCO_val2014_000000067686.jpg,photograph,NA,NA
COCO_val2014_000000315178.jpg,photograph,NA,NA
COCO_val2014_000000409251.jpg,photograph,NA,NA
COCO_val2014_000000145199.jpg,photograph,NA,NA
COCO_val2014_000000288591.jpg,photograph,NA,NA
COCO_val2014_000000155912.jpg,photograph,NA,NA
COCO_val2014_000000223362.jpg,photograph,NA,NA
COCO_val2014_000000182240.jpg,photograph,NA,NA
COCO_val2014_000000415746.jpg,photograph,NA,NA
COCO_val2014_000000225609.jpg,photograph,NA,NA
COCO_val2014_000000071072.jpg,photograph,NA,NA
COCO_val2014_000000023575.jpg,photograph,NA,NA
COCO_val2014_000000054712.jpg,photograph,NA,NA
COCO_val2014_000000383921.jpg,photograph,NA,NA
COCO_val2014_000000233711.jpg,photograph,NA,NA
COCO_val2014_000000556073.jpg,photograph,NA,NA
COCO_val2014_000000272630.jpg,photograph,NA,NA
COCO_val2014_000000021198.jpg,photograph,NA,NA
COCO_val2014_000000304355.jpg,photograph,NA,NA
COCO_val2014_000000010613.jpg,photograph,NA,NA
COCO_val2014_000000190585.jpg,photograph,NA,NA
COCO_val2014_000000285742.jpg,photograph,NA,NA
COCO_val2014_000000245497.jpg,photograph,NA,NA
COCO_val2014_000000058849.jpg,photograph,NA,NA
COCO_val2014_000000468885.jpg,photograph,NA,NA
COCO_val2014_000000388974.jpg,photograph,NA,NA
COCO_val2014_000000462006.jpg,photograph,NA,NA
COCO_val2014_000000023879.jpg,photograph,NA,NA
COCO_val2014_000000468577.jpg,photograph,NA,NA
COCO_val2014_000000379402.jpg,photograph,NA,NA
COCO_val2014_000000487861.jpg,photograph,NA,NA
COCO_val2014_000000230598.jpg,photograph,NA,NA
COCO_val2014_000000146126.jpg,photograph,NA,NA
COCO_val2014_000000178028.jpg,photograph,NA,NA
COCO_val2014_000000121326.jpg,photograph,NA,NA
COCO_val2014_000000449403.jpg,photograph,NA,NA
COCO_val2014_000000269033.jpg,photograph,NA,NA
COCO_val2014_000000043816.jpg,photograph,NA,NA
COCO_val2014_000000347768.jpg,photograph,NA,NA
COCO_val2014_000000045685.jpg,photograph,NA,NA
COCO_val2014_000000082821.jpg,photograph,NA,NA
COCO_val2014_000000511307.jpg,photograph,NA,NA
COCO_val2014_000000453104.jpg,photograph,NA,NA
COCO_val2014_000000011340.jpg,photograph,NA,NA
COCO_val2014_000000552247.jpg,photograph,NA,NA
COCO_val2014_000000272440.jpg,photograph,NA,NA
COCO_val2014_000000537145.jpg,photograph,NA,NA
COCO_val2014_000000555002.jpg,photograph,NA,NA
COCO_val2014_000000127182.jpg,photograph,NA,NA
COCO_val2014_000000344795.jpg,photograph,NA,NA
COCO_val2014_000000148392.jpg,photograph,NA,NA
COCO_val2014_000000381021.jpg,photograph,NA,NA
COCO_val2014_000000011511.jpg,photograph,NA,NA
COCO_val2014_000000093959.jpg,photograph,NA,NA
COCO_val2014_000000244754.jpg,photograph,NA,NA
COCO_val2014_000000352652.jpg,photograph,NA,NA
COCO_val2014_000000082994.jpg,photograph,NA,NA
COCO_val2014_000000242379.jpg,photograph,NA,NA
COCO_val2014_000000255633.jpg,photograph,NA,NA
COCO_val2014_000000302260.jpg,photograph,NA,NA
COCO_val2014_000000493641.jpg,photograph,NA,NA
COCO_val2014_000000551910.jpg,photograph,NA,NA
COCO_val2014_000000438373.jpg,photograph,NA,NA
COCO_val2014_000000557780.jpg,photograph,NA,NA
COCO_val2014_000000015032.jpg,photograph,NA,NA
COCO_val2014_000000310770.jpg,photograph,NA,NA
COCO_val2014_000000412373.jpg,photograph,NA,NA
COCO_val2014_000000231952.jpg,photograph,NA,NA
COCO_val2014_000000432962.jpg,photograph,NA,NA
COCO_val2014_000000180490.jpg,photograph,NA,NA
COCO_val2014_000000409303.jpg,photograph,NA,NA
COCO_val2014_000000346788.jpg,photograph,NA,NA
COCO_val2014_000000270376.jpg,photograph,NA,NA
COCO_val2014_000000075783.jpg,photograph,NA,NA
COCO_val2014_000000254828.jpg,photograph,NA,NA
COCO_val2014_000000190218.jpg,photograph,NA,NA
COCO_val2014_000000561766.jpg,photograph,NA,NA
COCO_val2014_000000294776.jpg,photograph,NA,NA
COCO_val2014_000000374743.jpg,photograph,NA,NA
COCO_val2014_000000009262.jpg,photograph,NA,NA
COCO_val2014_000000359451.jpg,photograph,NA,NA
COCO_val2014_000000388487.jpg,photograph,NA,NA
COCO_val2014_000000354606.jpg,photograph,NA,NA
COCO_val2014_000000475906.jpg,photograph,NA,NA
COCO_val2014_000000067427.jpg,photograph,NA,NA
COCO_val2014_000000191013.jpg,photograph,NA,NA
COCO_val2014_000000528311.jpg,photograph,NA,NA
COCO_val2014_000000471858.jpg,photograph,NA,NA
COCO_val2014_000000448275.jpg,photograph,NA,NA
COCO_val2014_000000227479.jpg,photograph,NA,NA
COCO_val2014_000000488086.jpg,photograph,NA,NA
COCO_val2014_000000417455.jpg,photograph,NA,NA
COCO_val2014_000000323602.jpg,photograph,NA,NA
COCO_val2014_000000013943.jpg,photograph,NA,NA
COCO_val2014_000000020571.jpg,photograph,NA,NA
COCO_val2014_000000551533.jpg,photograph,NA,NA
