roundID,text,playerID,director_msg,chit_chat
01JJWT7TC1K4F5ZEM5SDX6BRN7,open triangle,01JJWT1NKB57MDQMP2M2P3DZKN,FALSE,FALSE
01JJWR0Z06RCBXVTA691N0Z89F,3 points at top. diamond cut out,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWR0Z00GNGKBK6YFA37S6ST,3 points at top. no cut outs,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWR0YZJ495KKHDHVWYH7K73,3 points at top. no cut outs,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWT57P9K148NDV813B8NB65,hey,01JJWT1R37X3T25GBD6TDVV3MY,FALSE,FALSE
01JJWR0YZXQ1965ZVNE9G9AJAE,3 points at top. no cut-outs,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWRKCZR4Z0J382T5V4710S3,3 triangles pointing to the left,01JJWR6XK1CVES85T7PJJTVFR6,TRUE,FALSE
01JJWR0YZGCK7E00ZF8F3P20VR,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0Z057WR67QRT4MRMJJRX,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0Z14PZHR4HE6XVFH5W51,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0Z0VEX5XJEK91D8TNB6S,3 upward points,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWR0Z0BTBQYC9DH8GWK75PV,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0Z0T6CA9EMM831WEF07Q,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0Z0SBSRYYSNSKGMBG6TX,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWR0Z17PWNC3VMC094MG81B,3 upward points,01JJWQSKBWP80JVE0ZW28BSM19,TRUE,FALSE
01JJWRKCYZH3FVXEYZB9RECSJG,descripe,01JJWQTAQZ7PRR9KCZDS80XQAT,FALSE,FALSE
01JJWRKCXR1MFS3TWG8VD2KPCS,4 arrow,01JJWQTAQZ7PRR9KCZDS80XQAT,TRUE,FALSE
01JJWT414WCD3PGGQ37V00M1A7,a backwards letter p,01JJWSY17ZAFPAQCP2QDS1V3ZK,TRUE,FALSE
01JJWT42EEFSZA9VQ1PRFVS79A,a bird looking right with mouth open and spiky hair,01JJWSY17ZAFPAQCP2QDS1V3ZK,TRUE,FALSE
01JJWT58036M0DVD2JBR648WFV,A blocky oval-shaped head on the bottom,01JJWSYBXDXFM32P6SABPF01YG,TRUE,FALSE
01JJWT7T82KDB10JJK3Z49B8VM,a box,01JJWT109BAJ35J70YHSJGVX5V,TRUE,FALSE
01JJWT2D5RA6DEXV8CQNSF5T8P,a diamond,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2CYM8BC1CNXHDD26Q4M2,a diamond,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
