text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
like a grey blob that looks like kind of like a spider with just like a bunch of white crystals in the middle of it,3,describer,1,FALSE,NA,123
looks like a curmpled up tissue,3,describer,1,FALSE,NA,124
like a black m with like a stirng attached to like a up down 8,3,describer,1,FALSE,NA,125
kind of looks like a pocket watch with like a chain like circles going down,3,describer,1,FALSE,NA,126
looks like a coat rack,3,describer,1,FALSE,NA,127
looks like blocks stacked on top of each other,3,describer,1,FALSE,NA,128
looks like mountains on a map,3,describer,1,FALSE,NA,129
looks like a skeletal wing kind of but like spikes pointing out of it,3,describer,1,FALSE,NA,130
like a sideways v with a ball on it,3,describer,1,FALSE,NA,131
like two antennas like in a v,3,describer,1,FALSE,NA,132
looks like a grey rectangle kind of with a grey circle on the bottom of it,3,describer,1,FALSE,NA,133
like a pole with 3. it looks like a fork kind of like a fist,3,describer,1,FALSE,NA,134
just like a grey oval,3,describer,1,FALSE,NA,135
looks like two trapezoids overlapping each other,3,describer,1,FALSE,NA,136
kind of looks like two trapezoids that have grey white lines,3,describer,1,FALSE,NA,137
looks like a popsicle on its side with an x in it,3,describer,1,FALSE,NA,138
kind of looks like a hockey net or a soccer net,3,describer,1,FALSE,NA,139
looks kind of like an eyeball staring down like half circle,3,describer,1,FALSE,NA,140
like a very elongated d it looks like a shoelace sticking out of it to the right,3,describer,1,FALSE,NA,141
looks like a monster with antennas on it got like horns,3,describer,1,FALSE,NA,142
the rhino looking thing,3,describer,1,FALSE,NA,143
turtle looking thing with the big eyes,3,describer,1,FALSE,NA,144
the ball thing with the square in the middle,3,describer,1,FALSE,NA,145
looks like a tuning fork kind of thing; got like old fashioned keys circle on far left splits out into two parts with the thing crossing over it,3,describer,1,FALSE,NA,146
the two parrallel zigzags,3,describer,1,FALSE,NA,147
the picture with the x with the zigzags,3,describer,1,FALSE,NA,148
some kind of creature with like twenty legs,3,describer,1,FALSE,NA,149
kind of like a person; got like an upside down nike swoosh,3,describer,1,FALSE,NA,150
the object that looks like a sun,3,describer,1,FALSE,NA,151
looks like bamboo kind of,3,describer,1,FALSE,NA,152
looks like a bandaged knee,3,describer,1,FALSE,NA,153
looks like a clump of hair,3,describer,1,FALSE,NA,154
the picture of the moon looking cirlce,3,describer,1,FALSE,NA,155
looks like a plain ball with a bunch of curves on it like an oval with a bunch of ovals,3,describer,1,FALSE,NA,156
looks kind of like a book,3,describer,1,FALSE,NA,157
the flower,3,describer,1,FALSE,NA,158
looks like a music note,3,describer,1,FALSE,NA,159
"looks kind of like a pi sign, like a triangle at the bottom of the left leg",3,describer,1,FALSE,NA,160
the circle with pipes going up down left right have you ever seen a tinker toy,3,describer,1,FALSE,NA,161
looks kind of like a duck head with two curls coming out of it,3,describer,1,FALSE,NA,162
the half circle with squiggles running down it,3,describer,1,FALSE,NA,163
two half circles like it kind of looks like a clock hpointing straight up,3,describer,1,FALSE,NA,164
an upside down triangle that kind of extends further to the end,3,describer,1,FALSE,NA,165
"kind of tall half ovaL-shaped, looks like open kind of",3,describer,1,FALSE,NA,166
"a stretch but it looks like a really badly drawn swan, got a bunch of jagged edges",3,describer,1,FALSE,NA,167
like the pipe,3,describer,1,FALSE,NA,168
two infinity signs,3,describer,1,FALSE,NA,169
looks kind of like a beehive,3,describer,1,FALSE,NA,170
a circle with a line going straight up out of the top got what looks like half of a plus sign going down the middle with another line going straight down,3,describer,1,FALSE,NA,171
a half circle with a line sticking out to the right,3,describer,1,FALSE,NA,172
the one that looks like a pizza,3,describer,1,FALSE,NA,173
the figure with a bunch of spikes jutting out of it,3,describer,1,FALSE,NA,174
two cursive l's,4,describer,1,FALSE,NA,175
looks like an equals sign squiggly,4,describer,1,FALSE,NA,176
four diff pieces the top is a black half circle a t under it,4,describer,1,FALSE,NA,177
