room_num,image_options,target_image,stage_num,trial_num,round_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,/tangrams/158_212.png;/tangrams/186_427.png;/tangrams/165_264.png;/tangrams/284_99.png,/tangrams/284_99.png,1,41,3,FALSE,NA,match,1,2,1,47,1
1,/tangrams/158_212.png;/tangrams/284_264.png;/tangrams/165_99.png;/tangrams/186_427.png,/tangrams/186_427.png,1,46,3,FALSE,NA,match,1,1,2,48,1
1,/tangrams/165_264.png;/tangrams/158_212.png;/tangrams/186_427.png;/tangrams/284_99.png,/tangrams/284_99.png,1,31,2,FALSE,NA,match,1,1,2,49,1
1,/tangrams/186_264.png;/tangrams/165_212.png;/tangrams/284_427.png;/tangrams/158_99.png,/tangrams/158_99.png,1,26,2,FALSE,NA,match,1,2,1,50,1
1,/tangrams/165_212.png;/tangrams/158_264.png;/tangrams/284_99.png;/tangrams/186_427.png,/tangrams/284_99.png,1,10,1,FALSE,NA,match,1,2,1,51,1
1,/tangrams/158_264.png;/tangrams/284_427.png;/tangrams/165_99.png;/tangrams/186_212.png,/tangrams/186_212.png,1,55,4,FALSE,NA,match,1,1,2,52,1
1,/tangrams/165_99.png;/tangrams/158_264.png;/tangrams/186_427.png;/tangrams/284_212.png,/tangrams/186_427.png,1,19,2,FALSE,NA,match,1,1,2,53,1
1,/tangrams/165_99.png;/tangrams/186_264.png;/tangrams/158_212.png;/tangrams/284_427.png,/tangrams/165_99.png,1,17,2,FALSE,NA,match,1,2,1,54,1
1,/tangrams/186_264.png;/tangrams/165_212.png;/tangrams/284_99.png;/tangrams/158_427.png,/tangrams/158_427.png,1,8,1,FALSE,NA,match,1,1,2,55,1
1,/tangrams/165_212.png;/tangrams/284_99.png;/tangrams/158_427.png;/tangrams/186_264.png,/tangrams/284_99.png,1,56,4,FALSE,NA,match,1,2,1,56,1
1,/tangrams/158_264.png;/tangrams/186_212.png;/tangrams/284_427.png;/tangrams/165_99.png,/tangrams/165_99.png,1,64,4,FALSE,NA,match,1,1,2,57,1
1,/tangrams/186_99.png;/tangrams/165_427.png;/tangrams/158_264.png;/tangrams/284_212.png,/tangrams/186_99.png,1,35,3,FALSE,NA,match,1,2,1,58,1
1,/tangrams/186_212.png;/tangrams/158_264.png;/tangrams/165_427.png;/tangrams/284_99.png,/tangrams/158_264.png,1,11,1,FALSE,NA,match,1,1,2,59,1
1,/tangrams/186_99.png;/tangrams/158_264.png;/tangrams/165_212.png;/tangrams/284_427.png,/tangrams/158_264.png,1,27,2,FALSE,NA,match,1,1,2,60,1
1,/tangrams/284_99.png;/tangrams/158_264.png;/tangrams/186_427.png;/tangrams/165_212.png,/tangrams/165_212.png,1,1,1,FALSE,NA,match,1,1,2,61,1
1,/tangrams/165_99.png;/tangrams/284_264.png;/tangrams/186_427.png;/tangrams/158_212.png,/tangrams/284_264.png,1,44,3,FALSE,NA,match,1,2,1,62,1
1,/tangrams/165_264.png;/tangrams/284_427.png;/tangrams/158_99.png;/tangrams/186_212.png,/tangrams/165_264.png,1,13,1,FALSE,NA,match,1,2,1,63,1
1,/tangrams/284_427.png;/tangrams/158_99.png;/tangrams/165_264.png;/tangrams/186_212.png,/tangrams/284_427.png,1,48,3,FALSE,NA,match,1,2,1,64,1
1,/tangrams/305_251.png;/tangrams/334_285.png;/tangrams/122_139.png;/tangrams/399_260.png,/tangrams/399_260.png,1,24,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,65,2
1,/tangrams/66_99.png;/tangrams/334_285.png;/tangrams/15_188.png;/tangrams/348_432.png,/tangrams/348_432.png,1,20,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,66,2
1,/tangrams/334_285.png;/tangrams/305_251.png;/tangrams/403_386.png;/tangrams/348_432.png,/tangrams/334_285.png,1,39,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,67,2
1,/tangrams/458_59.png;/tangrams/334_285.png;/tangrams/198_389.png;/tangrams/115_220.png,/tangrams/458_59.png,1,50,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,68,2
1,/tangrams/122_139.png;/tangrams/458_59.png;/tangrams/348_432.png;/tangrams/128_429.png,/tangrams/122_139.png,1,42,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,69,2
1,/tangrams/399_260.png;/tangrams/115_220.png;/tangrams/92_96.png;/tangrams/348_432.png,/tangrams/399_260.png,1,55,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,70,2
