room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,1;2;3;4;5;6,2,1,1,1,FALSE,NA,order,1,40,20,115,20
1,1;2;3;4;5;6,1,1,2,1,FALSE,NA,order,1,40,20,116,20
1,1;2;3;4;5;6,6,1,3,1,FALSE,NA,order,1,40,20,117,20
1,1;2;3;4;5;6,3,1,4,1,FALSE,NA,order,1,40,20,118,20
1,1;2;3;4;5;6,5,1,5,1,FALSE,NA,order,1,40,20,119,20
1,1;2;3;4;5;6,4,1,6,1,FALSE,NA,order,1,40,20,120,20
1,1;2;3;4;5;6,1,1,7,2,FALSE,NA,order,1,21,1,121,1
1,1;2;3;4;5;6,2,1,8,2,FALSE,NA,order,1,21,1,122,1
1,1;2;3;4;5;6,3,1,9,2,FALSE,NA,order,1,21,1,123,1
1,1;2;3;4;5;6,6,1,10,2,FALSE,NA,order,1,21,1,124,1
1,1;2;3;4;5;6,4,1,11,2,FALSE,NA,order,1,21,1,125,1
1,1;2;3;4;5;6,5,1,12,2,FALSE,NA,order,1,21,1,126,1
1,1;2;3;4;5;6,2,1,7,2,FALSE,NA,order,1,22,2,127,2
1,1;2;3;4;5;6,5,1,8,2,FALSE,NA,order,1,22,2,128,2
1,1;2;3;4;5;6,6,1,9,2,FALSE,NA,order,1,22,2,129,2
1,1;2;3;4;5;6,3,1,10,2,FALSE,NA,order,1,22,2,130,2
1,1;2;3;4;5;6,4,1,11,2,FALSE,NA,order,1,22,2,131,2
1,1;2;3;4;5;6,1,1,12,2,FALSE,NA,order,1,22,2,132,2
1,1;2;3;4;5;6,1,1,7,2,FALSE,NA,order,1,23,3,133,3
1,1;2;3;4;5;6,3,1,8,2,FALSE,NA,order,1,23,3,134,3
1,1;2;3;4;5;6,4,1,9,2,FALSE,NA,order,1,23,3,135,3
1,1;2;3;4;5;6,6,1,10,2,FALSE,NA,order,1,23,3,136,3
1,1;2;3;4;5;6,5,1,11,2,FALSE,NA,order,1,23,3,137,3
1,1;2;3;4;5;6,2,1,12,2,FALSE,NA,order,1,23,3,138,3
1,1;2;3;4;5;6,4,1,7,2,FALSE,NA,order,1,24,4,139,4
