room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,baby;zombie,baby,1,4,1,TRUE,no describer talk,match,3,211,212,1462,106
1,bunny;baby,bunny,1,5,2,TRUE,no describer talk,match,3,212,211,1463,106
1,baby;dancer,baby,1,6,2,TRUE,no describer talk,match,3,211,212,1464,106
1,zombie;bunny,zombie,1,7,2,TRUE,no describer talk,match,3,212,211,1465,106
1,dancer;bunny,dancer,1,8,2,TRUE,no describer talk,match,3,211,212,1466,106
1,dancer;zombie,dancer,1,9,3,TRUE,no describer talk,match,3,212,211,1467,106
1,baby;dancer,baby,1,10,3,TRUE,no describer talk,match,3,211,212,1468,106
1,zombie;baby,zombie,1,11,3,TRUE,no describer talk,match,3,212,211,1469,106
1,bunny;dancer,bunny,1,12,3,TRUE,no describer talk,match,3,211,212,1470,106
1,baby;bunny,baby,1,13,4,TRUE,no describer talk,match,3,212,211,1471,106
1,bunny;zombie,bunny,1,14,4,TRUE,no describer talk,match,3,211,212,1472,106
1,zombie;bunny,zombie,1,15,4,TRUE,no describer talk,match,3,212,211,1473,106
1,dancer;zombie,dancer,1,16,4,TRUE,no describer talk,match,3,211,212,1474,106
