selected_image,player_id,time_stamp,trial_id
swim,120,10,822
walk,121,7,823
jump,120,5,824
jump,121,6,825
hold,120,7,826
walk,121,6,827
swim,120,7,828
swim,121,8,829
hold,120,7,830
jump,121,7,831
walk,120,17,832
hold,123,39,833
swim,122,14,834
jump,123,16,835
walk,122,5,836
jump,123,9,837
walk,122,8,838
hold,123,9,839
swim,122,4,840
walk,123,3,841
hold,122,14,842
swim,123,10,843
hold,122,14,844
jump,123,26,845
swim,122,4,846
walk,123,10,847
walk,122,9,848
E,125,23,849
A,124,26,850
G,125,35,851
E,124,19,852
A,125,10,853
G,124,16,854
A,125,19,855
E,124,24,856
A,125,11,857
E,124,17,858
H,125,17,859
G,124,11,860
G,125,13,861
E,124,11,862
H,125,9,863
G,124,9,864
E,113,22,865
G,126,48,866
G,113,32,867
A,126,18,868
H,113,38,869
E,126,18,870
H,113,100,871
A,126,15,872
E,113,29,873
A,126,28,874
A,113,31,875
G,126,40,876
E,113,30,877
E,126,51,878
A,113,21,879
A,126,41,880
E,82,15,881
G,77,20,882
A,82,29,883
A,77,16,884
G,82,13,885
H,77,46,886
E,82,13,887
H,77,9,888
G,82,12,889
E,77,26,890
A,82,8,891
E,77,9,892
H,82,29,893
G,77,14,894
E,82,14,895
A,77,14,896
A,128,28,897
E,127,107,898
G,128,7,899
A,127,23,900
G,128,15,901
E,127,10,902
H,128,17,903
E,127,13,904
E,128,27,905
G,127,37,906
E,128,25,907
E,127,21,908
G,128,14,909
A,127,14,910
H,128,18,911
E,130,21,912
G,129,51,913
A,130,10,914
E,129,43,915
E,130,10,916
A,129,5,1508
E,130,14,917
E,129,30,918
E,130,50,919
E,129,24,920
A,130,13,921
H,129,25,922
G,130,27,923
H,129,11,924
E,130,21,925
H,129,32,926
A,132,16,927
G,131,12,928
H,132,15,929
E,131,15,930
A,132,14,931
A,131,21,932
H,132,67,933
A,131,17,934
H,132,22,935
H,131,16,936
A,132,17,937
A,131,12,938
E,132,23,939
H,131,16,940
G,132,19,941
A,131,18,942
A,134,12,943
H,133,23,944
E,134,31,945
H,133,30,946
G,134,17,947
A,133,36,948
G,134,14,949
A,133,20,950
H,134,14,951
G,133,22,952
E,134,16,953
E,133,15,954
E,134,9,955
H,133,11,956
G,134,18,957
G,133,16,958
G,136,48,959
G,135,96,960
H,136,34,961
A,135,114,962
E,136,81,963
H,135,121,964
A,136,53,965
A,135,78,966
G,136,33,967
A,135,37,968
H,136,34,969
A,135,16,970
E,136,25,971
H,135,27,972
E,136,17,973
A,135,22,974
E,138,12,975
G,137,8,1509
A,138,19,976
E,137,2,1510
G,138,1,1511
E,137,1,1512
H,138,17,977
E,137,15,978
G,138,32,979
G,137,2,1513
G,138,33,980
A,137,1,1514
G,138,61,981
H,137,3,1515
A,138,3,1516
H,140,83,982
E,139,14,983
A,140,32,984
G,139,31,985
A,140,17,986
G,139,19,987
A,140,13,988
H,139,11,989
A,140,11,990
G,139,18,991
E,140,6,992
H,139,5,993
A,140,9,994
H,139,8,995
H,140,6,996
E,139,6,997
H,86,112,998
A,86,30,999
A,141,39,1000
A,141,161,1001
H,143,39,1002
E,60,15,1003
H,144,33,1004
G,60,17,1005
A,144,14,1006
A,60,24,1007
G,144,16,1008
A,60,7,1009
G,144,28,1010
E,60,8,1011
A,144,9,1012
H,60,10,1013
H,144,23,1014
E,60,8,1015
E,144,15,1016
A,60,32,1017
H,144,8,1018
A,146,88,1019
A,145,83,1020
H,146,45,1021
G,145,27,1022
H,146,51,1023
A,145,33,1024
H,146,23,1025
A,145,33,1026
H,146,28,1027
G,145,32,1028
E,146,37,1029
A,145,29,1030
A,146,21,1031
A,145,25,1032
A,146,31,1033
G,145,22,1034
E,60,22,1035
A,144,19,1036
H,60,18,1037
G,144,19,1038
H,60,8,1039
E,144,5,1040
E,60,15,1041
A,144,10,1042
G,60,4,1043
H,144,24,1044
E,60,9,1045
H,144,5,1046
H,60,16,1047
G,144,15,1048
A,60,32,1049
G,144,12,1050
G,148,5,1517
A,147,13,1518
A,148,36,1051
A,147,15,1052
G,148,31,1053
H,147,81,1054
G,148,26,1055
E,147,14,1519
E,148,18,1056
E,147,7,1520
H,148,2,1521
G,147,3,1522
E,148,6,1523
G,147,35,1057
E,148,65,1058
G,147,15,1524
E,150,79,1059
H,149,14,1060
E,150,25,1061
H,149,100,1062
E,150,50,1063
H,149,34,1064
G,150,22,1065
H,149,22,1066
H,150,29,1067
H,149,24,1068
H,150,28,1069
A,149,22,1070
E,150,16,1071
G,149,28,1072
H,150,15,1073
H,149,26,1074
G,152,12,1075
G,151,53,1076
E,152,46,1077
H,151,17,1078
H,152,34,1079
H,151,16,1080
G,152,19,1081
H,151,13,1082
E,152,19,1083
G,151,13,1084
G,152,21,1085
G,151,25,1086
A,152,13,1087
A,151,16,1088
H,152,9,1089
E,151,7,1090
G,154,16,1091
H,153,10,1092
E,154,18,1093
A,153,7,1094
E,154,16,1095
G,153,14,1096
A,154,11,1097
A,153,13,1098
G,154,15,1099
A,153,14,1100
H,154,25,1101
E,153,9,1102
A,154,8,1103
G,153,18,1104
H,154,21,1105
E,153,10,1106
A,155,133,1107
G,156,22,1108
G,155,133,1109
H,156,92,1110
E,155,40,1111
G,155,24,1112
E,158,7,1113
A,157,12,1114
E,158,22,1115
A,157,16,1116
H,158,11,1117
E,157,12,1118
A,158,8,1119
E,157,31,1120
G,158,11,1121
A,157,13,1122
E,158,8,1123
